eo_number,signing_date,title,fr_citation,provenance,source_file
12836,1993-02-01,Revocation of Certain Executive Orders Concerning Federal Contracting,"58 FR 7045; February 3, 1993",wayback,wayback-1993-clinton.html
12837,1993-02-10,Deficit Control and Productivity Improvement in the Administration of the Federal Government,"58 FR 8205; February 12, 1993",wayback,wayback-1993-clinton.html
12838,1993-02-10,Termination and Limitation of Federal Advisory Committees,"58 FR 8207; February 12, 1993",wayback,wayback-1993-clinton.html
12839,1993-02-10,"Reduction of 100,000 Federal positions","58 FR 8515; February 12, 1993",wayback,wayback-1993-clinton.html
12840,1993-03-09,Nuclear Cooperation With EURATOM,"58 FR 13401; March 11, 1993",wayback,wayback-1993-clinton.html
12841,1993-03-09,Adjustments to level IV and V of the Executive Schedule,"58 FR 13529; March 12, 1993",wayback,wayback-1993-clinton.html
12842,1993-03-29,International Development Law Institute,"58 FR 17081; April 1, 1993",wayback,wayback-1993-clinton.html
12843,1993-04-21,Procurement requirements and policies for Federal agencies for ozone-depleting substances,"58 FR 21881; April 23, 1993",wayback,wayback-1993-clinton.html
12844,1993-04-21,Federal use of Alternative fueled vehicles,"58 FR 21885; April 23, 1993",wayback,wayback-1993-clinton.html
12845,1993-04-21,Requiring agencies to purchase energy efficient computer equipment,"58 FR 21887; April 23, 1993",wayback,wayback-1993-clinton.html
12846,1993-04-25,Additional measures with respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),"58 FR 25771; April 27, 1993",wayback,wayback-1993-clinton.html
12847,1993-05-17,Amending Executive Order No. 11423,"58 FR 29511; May 20, 1993",wayback,wayback-1993-clinton.html
12848,1993-05-19,Federal plan to break the cycle of homelessness,"58 FR 29517; May 20, 1993",wayback,wayback-1993-clinton.html
12849,1993-05-25,Implementation of agreement with the European Community on Government procurement,"58 FR 30931; May 27, 1993",wayback,wayback-1993-clinton.html
12850,1993-05-28,Conditions for renewal of Most-Favored-Nation Status for the People's Republic of China in 1994,"58 FR 31327; June 1, 1993",wayback,wayback-1993-clinton.html
12851,1993-06-11,"Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities","58 FR 33181; June 15, 1993",wayback,wayback-1993-clinton.html
12852,1993-06-29,President's Council on Sustainable Development,"58 FR 35841; July 2, 1993",wayback,wayback-1993-clinton.html
12853,1993-06-30,Blocking Government of Haiti Property and Prohibiting Transactions With Haiti,"58 FR 35843; July 2, 1993",wayback,wayback-1993-clinton.html
12854,1993-07-04,Implementation of the Cuban Democracy Act,"58 FR 36587; July 7, 1993",wayback,wayback-1993-clinton.html
12855,1993-07-19,Amendment to Executive Order 12852,"58 FR 39107; July 21, 1993",wayback,wayback-1993-clinton.html
12856,1993-08-03,Federal Compliance With Right-to-Know Laws and Pollution Prevention Requirements,"58 FR 41981; August 6, 1993",wayback,wayback-1993-clinton.html
12857,1993-08-04,Budget Control,"58 FR 42181; August 6, 1993",wayback,wayback-1993-clinton.html
12858,1993-08-04,Deficit Reduction Fund,"58 FR 42185; August 6, 1993",wayback,wayback-1993-clinton.html
